,bedrooms,bathrooms,sqft_living,floors,waterfront,view,grade,sqft_above,sqft_basement,zipcode,sqft_living15,price
0,3,1,1180,1,0,0,7,1180,0,310612.75572519086,1340,221900
1,3,2,2570,2,0,0,7,2170,400,469928.76772616134,1690,538000
2,2,1,770,1,0,0,6,770,0,462488.8692579505,2720,180000
3,4,3,1960,1,0,0,7,1050,910,551768.5209125475,1360,604000
4,3,2,1680,1,0,0,8,1680,0,685675.8435374149,1800,510000
5,4,4,5420,1,0,0,11,3890,1530,677215.034739454,4760,1230000
6,3,2,1715,2,0,0,7,1715,0,294111.27857142856,2238,257500
7,3,2,1060,1,0,0,7,1060,0,302896.7392857143,1650,291850
8,3,1,1780,1,0,0,7,1050,730,359496.2604166667,1780,229500
9,3,2,1890,2,0,0,7,1890,0,367091.48387096776,2390,323000
10,3,2,3560,1,0,0,8,1860,1700,617254.0212765958,2210,662500
11,2,1,1160,1,0,0,7,860,300,619944.1492281304,1330,468000
12,3,1,1430,"1,5",0,0,7,1430,0,462488.8692579505,1780,310000
13,3,2,1370,1,0,0,7,1370,0,685675.8435374149,1370,400000
14,5,2,1810,"1,5",0,0,7,1810,0,579109.8082706766,1360,530000
15,4,3,2950,2,0,3,9,1980,970,424734.60451977403,2140,650000
16,3,2,1890,2,0,0,7,1890,0,424815.06315789477,1890,395000
17,4,1,1600,"1,5",0,0,7,1600,0,585048.7790697674,1610,485000
18,2,1,1200,1,0,0,7,1200,0,234284.0351758794,1060,189000
19,3,1,1250,1,0,0,7,1250,0,294111.27857142856,1280,230000
20,4,2,1620,1,0,0,7,860,760,387011.5902636917,1400,385000
21,3,3,3050,1,0,4,9,2330,720,1194873.6382978724,4110,2000000
22,5,2,2270,2,0,0,8,2270,0,334921.0626780627,2240,285000
23,2,2,1070,1,0,0,7,1070,0,296187.98046875,1220,252700
24,3,2,2450,2,0,0,8,2450,0,296187.98046875,2200,329000
25,3,2,1710,"1,5",0,0,6,1710,0,234284.0351758794,1030,233000
26,3,2,2450,2,0,0,8,1750,700,849714.8097826086,1760,937000
27,3,1,1400,"1,5",0,0,8,1400,0,1096239.0074349442,1860,667000
28,3,2,1520,1,0,0,7,790,730,619944.1492281304,1520,438000
29,4,2,2570,2,0,0,8,2570,0,645244.2264808363,2630,719000
30,3,2,2320,2,0,0,8,2320,0,617053.9660194175,2580,580500
31,2,2,1190,3,0,0,7,1190,0,387011.5902636917,1390,280000
32,4,2,2330,"1,5",0,0,7,1510,820,576834.808318264,1460,687500
33,3,1,1090,"1,5",0,0,8,1090,0,576834.808318264,1570,535000
34,4,3,2060,1,0,0,7,1280,780,353619.07472527475,2020,322500
35,3,2,2300,"1,5",0,0,8,1510,790,619944.1492281304,1590,696000
36,4,1,1660,1,0,0,5,930,730,645244.2264808363,2160,550000
37,4,2,2360,2,0,0,8,2360,0,579109.8082706766,1730,640000
38,4,1,1220,1,0,0,7,890,330,281194.8698060942,1290,240000
39,4,2,2620,2,0,0,8,2620,0,420895.47536945814,2620,605000
40,4,2,2570,2,0,0,9,2570,0,685675.8435374149,2470,625000
41,4,2,4220,1,0,0,8,2600,1620,464322.38976377953,2410,775000
42,5,3,3595,2,0,0,9,3595,0,677215.034739454,3625,861990
43,3,1,1570,2,0,0,7,1570,0,849714.8097826086,1580,685000
44,3,1,1280,1,0,0,6,920,360,353619.07472527475,1340,309000
45,3,2,3160,2,0,0,8,3160,0,424815.06315789477,3050,488000
46,3,1,990,1,0,0,6,990,0,286742.81162324647,1228,210490
